step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;54,7;50,2;68,7;137;0,945;35,2;39,3;1,82;3,31;3,43
2;49,6;50,1;68,7;137;0,122;53,7;86,4;0,0301;0,0724;0,0812
3;49,6;50,2;68,7;137;0,0956;53,7;86,2;0,0327;0,0444;0,0498
4;49,6;50,2;68,7;137;0,102;53,7;86,2;0,0288;0,0407;0,0483
5;49,6;50,1;68,7;137;0,0987;53,7;86,2;0,0234;0,0351;0,0386
6;49,6;50,1;68,8;137;0,0962;53,7;86,2;0,0317;0,0452;0,0491
7;49,6;50,2;68,7;137;0,116;53,8;86,4;0,0232;0,035;0,0384
8;49,8;50,4;69,6;141;0,096;53,7;86,2;0,0234;0,0374;0,0409
9;49,6;50;68,7;137;0,0976;56,3;90;0,0273;0,0405;0,0441
10;49,7;50,2;69;138;0,111;53,7;86,2;0,018;0,0308;0,0346
