step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;27,7;28,4;46,1;63,8;0,036;0,0467;0,0574;0,00196;0,00199;0,00201
2;27,7;28,4;46,1;63,8;0,036;0,0395;0,043;0,00143;0,00144;0,00145
3;27,7;28,4;46,1;63,8;0,0357;0,0387;0,0418;0,00137;0,00152;0,00167
4;27,7;28,4;46,1;63,8;0,034;0,0344;0,0348;0,00115;0,0012;0,00126
5;27,7;28,4;46,1;63,8;0,0341;0,0346;0,0351;0,00115;0,00115;0,00116
6;27,7;28,4;46,1;63,8;0,0343;0,0351;0,0359;0,00114;0,00115;0,00116
7;27,7;28,4;46,1;63,8;0,0342;0,0347;0,0352;0,00115;0,00115;0,00115
8;27,9;28,5;47,2;65,9;0,0344;0,0345;0,0346;0,00115;0,00117;0,00118
9;27,7;28,4;46,1;63,8;0,0342;0,0351;0,036;0,00116;0,00117;0,00118
10;27,8;28,4;46,5;64,7;0,0343;0,0349;0,0356;0,00114;0,00115;0,00115
