step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;elem_pot
1;0,135;0,14;0,14;0,14;7,92e-05;7,92e-05;7,92e-05;6,91e-06;6,91e-06;6,91e-06;13
2;0,134;0,139;0,139;0,139;1,91e-06;1,91e-06;1,91e-06;2,15e-06;2,15e-06;2,15e-06;13
3;0,134;0,139;0,139;0,139;2,86e-06;2,86e-06;2,86e-06;0;0;0;13
4;0,136;0,142;0,142;0,142;2,15e-06;2,15e-06;2,15e-06;9,54e-07;9,54e-07;9,54e-07;13
5;0,135;0,14;0,14;0,14;4,05e-06;4,05e-06;4,05e-06;0;0;0;13
6;0,136;0,141;0,141;0,141;1,91e-06;1,91e-06;1,91e-06;9,54e-07;9,54e-07;9,54e-07;13
7;0,136;0,141;0,141;0,141;9,54e-07;9,54e-07;9,54e-07;1,19e-06;1,19e-06;1,19e-06;13
8;0,134;0,139;0,139;0,139;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;13
9;0,134;0,14;0,14;0,14;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;9,54e-07;13
10;0,134;0,139;0,139;0,139;1,91e-06;1,91e-06;1,91e-06;2,15e-06;2,15e-06;2,15e-06;13
