step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;416;422;422;422;4,98e-05;4,98e-05;4,98e-05;9,06e-06;9,06e-06;9,06e-06
2;414;419;419;419;2,91e-05;2,91e-05;2,91e-05;2,86e-06;2,86e-06;2,86e-06
3;414;419;419;419;3,81e-05;3,81e-05;3,81e-05;1,91e-06;1,91e-06;1,91e-06
4;412;417;417;417;1,38e-05;1,38e-05;1,38e-05;3,1e-06;3,1e-06;3,1e-06
5;412;418;418;418;1,69e-05;1,69e-05;1,69e-05;2,15e-06;2,15e-06;2,15e-06
6;412;418;418;418;1,62e-05;1,62e-05;1,62e-05;1,91e-06;1,91e-06;1,91e-06
7;412;417;417;417;1,6e-05;1,6e-05;1,6e-05;2,15e-06;2,15e-06;2,15e-06
8;415;421;421;421;1,6e-05;1,6e-05;1,6e-05;2,15e-06;2,15e-06;2,15e-06
9;411;416;416;416;1,19e-05;1,19e-05;1,19e-05;3,1e-06;3,1e-06;3,1e-06
10;413;419;419;419;1,6e-05;1,6e-05;1,6e-05;1,91e-06;1,91e-06;1,91e-06
