step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;max_alloced
1;27,1;27,2;36,4;51,6;0,15;0,201;0,219;0,00572;0,00643;0,00729;149471648
2;27;27,2;36,4;51,6;0,17;11;24,3;0,00498;0,00625;0,0073;151360672
3;27;27,2;36,4;51,6;0,173;11;24,3;0,00375;0,0044;0,00507;153249696
4;27;27,2;36,4;51,6;0,175;11;24,3;0,00379;0,00445;0,00508;155138720
5;27;27,2;36,4;51,6;0,172;11;24,3;0,00373;0,00439;0,00502;157027744
6;27;27,2;36,4;51,6;0,171;11;24,3;0,00378;0,00455;0,00541;158916768
7;27;27,2;36,4;51,6;0,169;11;24,3;0,00438;0,00563;0,00668;160805792
8;27;27,2;36,7;52,6;0,169;11;24,3;0,00347;0,00433;0,00522;162694816
9;27;27,2;36,4;51,6;0,169;11,4;25,3;0,00369;0,00465;0,00562;164583840
10;27;27,2;36,5;51,9;0,172;11;24,3;0,00412;0,00541;0,00664;166472864
