Run with 32 processes and 2^21 elements per node
memory befor cluster tree: 176164016 bytes
memory after cluster tree: 556378424 bytes
  differenze: 	 380214408 bytes
step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max;max_alloced
1;170;171;194;387;0,643;0,816;0,876;0,0153;0,0175;0,0207;588795728
2;170;171;193;387;0,68;167;216;0,0113;0,014;0,0185;592833904
3;170;171;193;387;0,681;167;216;0,011;0,0137;0,0182;596872080
4;170;171;193;387;0,68;167;216;0,0107;0,0136;0,0178;600910256
5;170;171;193;387;0,678;167;216;0,0107;0,0137;0,0178;604948432
6;170;171;193;387;0,695;167;216;0,0107;0,0135;0,0175;608986608
7;170;171;193;387;0,678;167;216;0,0109;0,0139;0,0178;613024784
8;170;171;194;395;0,682;167;216;0,0108;0,0139;0,0179;617062960
9;170;171;193;387;0,689;173;224;0,0106;0,0139;0,0179;621101136

%NQSII(INFO): Batch job received signal SIGKILL. (Exceeded per-req elapse time limit)
