step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;6,03;5,89;6,37;6,79;0,0102;0,021;0,0224;0,00301;0,00336;0,00379
2;6,01;5,88;6,38;6,79;0,0098;0,343;0,913;0,00205;0,00234;0,00262
3;6,01;5,88;6,37;6,78;0,00956;0,344;0,918;0,0021;0,00239;0,00276
4;6,01;5,88;6,37;6,78;0,00922;0,343;0,91;0,00166;0,00197;0,00225
5;6,02;5,88;6,37;6,78;0,00999;0,343;0,913;0,00206;0,00234;0,00262
6;6,01;5,88;6,37;6,78;0,00948;0,343;0,911;0,00165;0,00192;0,00221
7;6,01;5,88;6,37;6,78;0,00954;0,344;0,918;0,002;0,00231;0,00267
8;6,07;5,91;6,43;6,87;0,00949;0,343;0,91;0,00165;0,0019;0,00217
9;6,01;5,88;6,37;6,78;0,00943;0,372;0,973;0,00162;0,00189;0,00217
10;6,04;5,89;6,39;6,82;0,01;0,343;0,912;0,00161;0,00188;0,00219
