step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;46,6;47,3;47,3;47,3;8,39e-05;8,39e-05;8,39e-05;9,06e-06;9,06e-06;9,06e-06
2;46,6;47,3;47,3;47,3;2e-05;2e-05;2e-05;1,91e-06;1,91e-06;1,91e-06
3;46,6;47,3;47,3;47,3;1,41e-05;1,41e-05;1,41e-05;1,91e-06;1,91e-06;1,91e-06
4;46,6;47,3;47,3;47,3;1,6e-05;1,6e-05;1,6e-05;1,91e-06;1,91e-06;1,91e-06
5;46,6;47,3;47,3;47,3;1,48e-05;1,48e-05;1,48e-05;2,15e-06;2,15e-06;2,15e-06
6;46,6;47,3;47,3;47,3;1,22e-05;1,22e-05;1,22e-05;2,86e-06;2,86e-06;2,86e-06
7;46,6;47,3;47,3;47,3;6,91e-06;6,91e-06;6,91e-06;2,15e-06;2,15e-06;2,15e-06
8;46,8;47,5;47,5;47,5;1,48e-05;1,48e-05;1,48e-05;2,15e-06;2,15e-06;2,15e-06
9;46,6;47,3;47,3;47,3;1,38e-05;1,38e-05;1,38e-05;2,15e-06;2,15e-06;2,15e-06
10;46,7;47,4;47,4;47,4;1,41e-05;1,41e-05;1,41e-05;2,86e-06;2,86e-06;2,86e-06
