step;total_time;work_time_min;work_time_avg;work_time_max;prep_time_min;prep_time_avg;prep_time_max;comm_time_min;comm_time_avg;comm_time_max
1;0,134;0,121;0,143;0,167;0,000516;0,00112;0,00134;0,00151;0,00158;0,0017
2;0,132;0,121;0,143;0,167;0,000331;0,017;0,0444;0,000351;0,000364;0,000392
3;0,132;0,121;0,143;0,167;0,000357;0,017;0,0443;0,000358;0,000384;0,000413
4;0,132;0,121;0,143;0,167;0,000348;0,017;0,0444;0,000343;0,000366;0,0004
5;0,132;0,121;0,143;0,167;0,000352;0,017;0,0444;0,000351;0,000368;0,000394
6;0,132;0,121;0,143;0,167;0,000347;0,017;0,0443;0,000347;0,000379;0,000404
7;0,132;0,121;0,143;0,167;0,000353;0,017;0,0443;0,000343;0,000369;0,000397
8;0,133;0,123;0,144;0,167;0,000308;0,017;0,0444;0,000359;0,000381;0,000408
9;0,132;0,122;0,144;0,167;0,000367;0,017;0,0445;0,000366;0,000392;0,000417
10;0,136;0,123;0,144;0,168;0,000236;0,0172;0,0446;0,000367;0,000387;0,000422
